title,studio,domestic_gross,foreign_gross,year,total_gross,title_norm
Seeking Justice,Anch.,412000.0,11900000.0,2012,12312000.0,seeking justice
Bachelorette,RTWC,448000.0,11500000.0,2012,11948000.0,bachelorette
This Must Be the Place,Wein.,144000.0,11600000.0,2012,11744000.0,this must be the place
Fun Size,Par.,9400000.0,2000000.0,2012,11400000.0,fun size
Rec 3: Genesis,Magn.,9600.0,10100000.0,2012,10109600.0,rec 3 genesis
Delicacy,Cohen,499000.0,9200000.0,2012,9699000.0,delicacy
Seeking a Friend for the End of the World,Focus,7100000.0,2600000.0,2012,9700000.0,seeking a friend for the end of the world
The Apparition,WB,4900000.0,4700000.0,2012,9600000.0,the apparition
For Greater Glory,ArcEnt,5700000.0,4000000.0,2012,9700000.0,for greater glory
Hysteria,SPC,1800000.0,7700000.0,2012,9500000.0,hysteria
Bernie,MNE,9200000.0,18700000.0,2012,27900000.0,bernie
The Sessions,FoxS,6000000.0,3100000.0,2012,9100000.0,the sessions
Ruby Sparks,FoxS,2500000.0,6600000.0,2012,9100000.0,ruby sparks
Hyde Park on Hudson,Focus,6400000.0,2500000.0,2012,8900000.0,hyde park on hudson
On the Road,IFC,744000.0,8000000.0,2012,8744000.0,on the road
Boy (2012),PalUni,256000.0,8400000.0,2012,8656000.0,boy
Piranha 3DD,W/Dim.,377000.0,8100000.0,2012,8477000.0,piranha 3dd
Easy Money (2012),Wein.,206000.0,8199999.0,2012,8405999.0,easy money
Space Dogs 3D,EpicPics,14400.0,8300000.0,2012,8314400.0,space dogs 3d
Bel Ami,Magn.,120000.0,8199999.0,2012,8319999.0,bel ami
Promised Land (2012),Focus,7600000.0,541000.0,2012,8141000.0,promised land
Iron Sky,EOne,122000.0,8000000.0,2012,8122000.0,iron sky
Casa De Mi Padre,LGF,5900000.0,2100000.0,2012,8000000.0,casa de mi padre
Heroine,UTV,599000.0,7400000.0,2012,7999000.0,heroine
A Royal Affair,Magn.,1500000.0,6000000.0,2012,7500000.0,a royal affair
All Together,KL,43200.0,7200000.0,2012,7243200.0,all together
My Worst Nightmare,Strand,22000.0,7100000.0,2012,7122000.0,my worst nightmare
The Collection,LD,6800000.0,18700000.0,2012,25500000.0,the collection
Monsieur Lazhar (U.S.-only),MBox,2000000.0,4600000.0,2012,6600000.0,monsieur lazhar
Goon,Magn.,4200000.0,2300000.0,2012,6500000.0,goon
Cosmopolis,EOne,764000.0,5300000.0,2012,6064000.0,cosmopolis
Chasing Mavericks,Fox,6000000.0,600.0,2012,6000600.0,chasing mavericks
Declaration of War,IFC,59100.0,5800000.0,2012,5859100.0,declaration of war
Puella Magi Madoka Magica the Movie,Elev.,180000.0,5600000.0,2012,5780000.0,puella magi madoka magica the movie
Albert Nobbs,RAtt.,3000000.0,2600000.0,2012,5600000.0,albert nobbs
In Darkness,SPC,1000000.0,4500000.0,2012,5500000.0,in darkness
Won't Back Down,Fox,5300000.0,18700000.0,2012,24000000.0,wont back down
Farewell My Queen,Cohen,1600000.0,3700000.0,2012,5300000.0,farewell my queen
Girl in Progress,LGF,2600000.0,2000000.0,2012,4600000.0,girl in progress
"Jeff, Who Lives at Home",ParV,4300000.0,148000.0,2012,4448000.0,jeff who lives at home
Barbara,AF,1000000.0,3100000.0,2012,4100000.0,barbara
The Raid: Redemption,SPC,4099999.0,18700000.0,2012,22799999.0,the raid redemption
Safety Not Guaranteed,FD,4000000.0,18700000.0,2012,22700000.0,safety not guaranteed
Nitro Circus the Movie 3D,ArcEnt,3400000.0,526000.0,2012,3926000.0,nitro circus the movie 3d
The Lady,Cohen,355000.0,3400000.0,2012,3755000.0,the lady
Branded,RAtt.,354000.0,3400000.0,2012,3754000.0,branded
The Rabbi's Cat,GK,23400.0,3700000.0,2012,3723400.0,the rabbis cat
Searching for Sugar Man,SPC,3700000.0,18700000.0,2012,22400000.0,searching for sugar man
Killer Joe,LD,2000000.0,1700000.0,2012,3700000.0,killer joe
Hara-Kiri: Death of a Samurai,Trib.,75700.0,3400000.0,2012,3475700.0,harakiri death of a samurai
Robot & Frank,Gold.,3300000.0,18700000.0,2012,22000000.0,robot frank
Raiders of the Lost Ark (IMAX),Par.,3100000.0,18700000.0,2012,21800000.0,raiders of the lost ark
Celeste and Jesse Forever,SPC,3100000.0,18700000.0,2012,21800000.0,celeste and jesse forever
Jab Tak Hai Jaan,Yash,3000000.0,18700000.0,2012,21700000.0,jab tak hai jaan
Intruders,MNE,69100.0,2900000.0,2012,2969100.0,intruders
Talaash,Relbig.,2900000.0,18700000.0,2012,21600000.0,talaash
Barfi!,UTV,2800000.0,18700000.0,2012,21500000.0,barfi
A Simple Life,CL,192000.0,2600000.0,2012,2792000.0,a simple life
Samsara,Osci.,2700000.0,18700000.0,2012,21400000.0,samsara
Simon and the Oaks,TFA,151000.0,2400000.0,2012,2551000.0,simon and the oaks
Jiro Dreams of Sushi,Magn.,2600000.0,18700000.0,2012,21300000.0,jiro dreams of sushi
Dabangg 2,Eros,2500000.0,18700000.0,2012,21200000.0,dabangg 2
Kid With a Bike,IFC,1500000.0,1000000.0,2012,2500000.0,kid with a bike
The Queen of Versailles,Magn.,2400000.0,18700000.0,2012,21100000.0,the queen of versailles
Ek Tha Tiger,Yash,2300000.0,18700000.0,2012,21000000.0,ek tha tiger
Chico & Rita,GK,351000.0,1900000.0,2012,2251000.0,chico rita
Stolen (2012),MNE,304000.0,1800000.0,2012,2104000.0,stolen
Footnote,SPC,2000000.0,18700000.0,2012,20700000.0,footnote
The Imposter,IM,898000.0,1100000.0,2012,1998000.0,the imposter
Agneepath,Eros,2000000.0,18700000.0,2012,20700000.0,agneepath
The Day I Saw Your Heart,FM,3500.0,2000000.0,2012,2003500.0,the day i saw your heart
English Vinglish,Eros,1900000.0,18700000.0,2012,20600000.0,english vinglish
Housefull 2,Eros,1800000.0,18700000.0,2012,20500000.0,housefull 2
Tales of the Night,GK,11000.0,1700000.0,2012,1711000.0,tales of the night
Beloved (2012),IFC,138000.0,1500000.0,2012,1638000.0,beloved
360,Magn.,100000.0,1600000.0,2012,1700000.0,360
2 Days in New York,Magn.,633000.0,1000000.0,2012,1633000.0,2 days in new york
Your Sister's Sister,IFC,1600000.0,18700000.0,2012,20300000.0,your sisters sister
Hermano,MBox,29900.0,1600000.0,2012,1629900.0,hermano
Lay the Favorite,RTWC,21000.0,1600000.0,2012,1621000.0,lay the favorite
Soldiers of Fortune,RAtt.,38900.0,1500000.0,2012,1538900.0,soldiers of fortune
A Late Quartet,EOne,1600000.0,18700000.0,2012,20300000.0,a late quartet
I Wish,Magn.,146000.0,1400000.0,2012,1546000.0,i wish
The Salt of Life,Zeit.,317000.0,1200000.0,2012,1517000.0,the salt of life
Chicken with Plums,SPC,254000.0,1200000.0,2012,1454000.0,chicken with plums
Marley,Magn.,1400000.0,18700000.0,2012,20100000.0,marley
The Paperboy,MNE,693000.0,661000.0,2012,1354000.0,the paperboy
Chasing Ice,SD,1300000.0,18700000.0,2012,20000000.0,chasing ice
Unforgivable,Strand,154000.0,1200000.0,2012,1354000.0,unforgivable
A Little Bit of Heaven,MNE,15400.0,1300000.0,2012,1315400.0,a little bit of heaven
The Other Son,Cohen,1300000.0,18700000.0,2012,20000000.0,the other son
Meerkats,NGE,778000.0,482000.0,2012,1260000.0,meerkats
"For a Good Time, Call...",Focus,1300000.0,18700000.0,2012,20000000.0,for a good time call
Take This Waltz,Magn.,1200000.0,18700000.0,2012,19900000.0,take this waltz
Cocktail (2012),Eros,1200000.0,18700000.0,2012,19900000.0,cocktail
Once Upon a Time in Anatolia,CGld,152000.0,1000000.0,2012,1152000.0,once upon a time in anatolia
Ek Main Aur Ekk Tu,UTV,1200000.0,18700000.0,2012,19900000.0,ek main aur ekk tu
The Deep Blue Sea,MBox,1100000.0,18700000.0,2012,19800000.0,the deep blue sea
Coriolanus,Wein.,757000.0,315000.0,2012,1072000.0,coriolanus
Diana Vreeland: The Eye Has to Travel,Gold.,1000000.0,18700000.0,2012,19700000.0,diana vreeland the eye has to travel
First Position,IFC,1000000.0,18700000.0,2012,19700000.0,first position
Damsels in Distress,SPC,1000000.0,18700000.0,2012,19700000.0,damsels in distress
Rampart,MNE,973000.0,18700000.0,2012,19673000.0,rampart
Elles,KL,158000.0,754000.0,2012,912000.0,elles
W.E.,Wein.,583000.0,285000.0,2012,868000.0,we
Breathing,KL,4600.0,803000.0,2012,807600.0,breathing
Darling Companion,SPC,794000.0,18700000.0,2012,19494000.0,darling companion
Teri Meri Kahaani,Eros,781000.0,18700000.0,2012,19481000.0,teri meri kahaani
Son of Sardaar,Eros,772000.0,18700000.0,2012,19472000.0,son of sardaar
Agent Vinod,Eros,698000.0,18700000.0,2012,19398000.0,agent vinod
Student of the Year,Eros,670000.0,18700000.0,2012,19370000.0,student of the year
The Polar Express (2012 re-issue),WB,669000.0,18700000.0,2012,19369000.0,the polar express
Holy Motors,IM,641000.0,18700000.0,2012,19341000.0,holy motors
Free Men,FM,53800.0,564000.0,2012,617800.0,free men
"Peace, Love and Misunderstanding",IFC,591000.0,18700000.0,2012,19291000.0,peace love and misunderstanding
Undefeated (2012),Wein.,562000.0,18700000.0,2012,19262000.0,undefeated
Sister (2012),AF,155000.0,400000.0,2012,555000.0,sister
Vicky Donor,Eros,549000.0,18700000.0,2012,19249000.0,vicky donor
Being Flynn,Focus,540000.0,18700000.0,2012,19240000.0,being flynn
Ai Weiwei: Never Sorry,IFC,534000.0,18700000.0,2012,19234000.0,ai weiwei never sorry
Where Do We Go Now?,SPC,532000.0,18700000.0,2012,19232000.0,where do we go now
Bully (2012),Wein.,279000.0,182000.0,2012,461000.0,bully
Ferrari Ki Sawaari,Eros,434000.0,18700000.0,2012,19134000.0,ferrari ki sawaari
Apartment 143,Magn.,400.0,426000.0,2012,426400.0,apartment 143
Sound of My Voice,FoxS,408000.0,18700000.0,2012,19108000.0,sound of my voice
Khiladi 786,Eros,379000.0,18700000.0,2012,19079000.0,khiladi 786
Smashed,SPC,377000.0,18700000.0,2012,19077000.0,smashed
Universal Soldier: Day of Reckoning,Magn.,5500.0,364000.0,2012,369500.0,universal soldier day of reckoning
The Oranges,ATO,366000.0,18700000.0,2012,19066000.0,the oranges
Liberal Arts,IFC,327000.0,18700000.0,2012,19027000.0,liberal arts
Compliance,Magn.,319000.0,18700000.0,2012,19019000.0,compliance
Back to 1942,CL,313000.0,18700000.0,2012,19013000.0,back to 1942
The Flowers of War,WHE,311000.0,18700000.0,2012,19011000.0,the flowers of war
Something From Nothing: The Art of Rap,IM,288000.0,18700000.0,2012,18988000.0,something from nothing the art of rap
Love in the Buff,CL,256000.0,18700000.0,2012,18956000.0,love in the buff
Lola Versus,FoxS,253000.0,18700000.0,2012,18953000.0,lola versus
Keep the Lights On,MBox,246000.0,18700000.0,2012,18946000.0,keep the lights on
Gerhard Richter Painting,KL,243000.0,18700000.0,2012,18943000.0,gerhard richter painting
Trishna,IFC,240000.0,18700000.0,2012,18940000.0,trishna
Elena,Zeit.,233000.0,18700000.0,2012,18933000.0,elena
Tezz,Eros,230000.0,18700000.0,2012,18930000.0,tezz
The Viral Factor,CL,220000.0,18700000.0,2012,18920000.0,the viral factor
Neil Young Journeys,SPC,215000.0,18700000.0,2012,18915000.0,neil young journeys
Tai Chi Zero,Vari.,212000.0,18700000.0,2012,18912000.0,tai chi zero
The House I Live In,Abr.,211000.0,18700000.0,2012,18911000.0,the house i live in
10 Years,Anch.,203000.0,18700000.0,2012,18903000.0,10 years
17 Girls,Strand,15100.0,186000.0,2012,201100.0,17 girls
Tim & Eric's Billion Dollar Movie,Magn.,201000.0,18700000.0,2012,18901000.0,tim erics billion dollar movie
