id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit_ratio,profit,year,title_norm,month
96,1963-08-08,The Great Escape,4000000.0,11744471.0,11972561.0,2.99314025,7972561.0,1963,the great escape,8
97,2004-02-06,What the #$'! Do We Know,4000000.0,10941801.0,10941801.0,2.73545025,6941801.0,2004,what the do we know,2
98,2016-05-13,The Darkness,4000000.0,10753574.0,10898293.0,2.72457325,6898293.0,2016,the darkness,5
99,2006-07-28,Scoop,4000000.0,10525717.0,40103262.0,10.0258155,36103262.0,2006,scoop,7
100,2001-11-14,The Wash,4000000.0,10097096.0,10097096.0,2.524274,6097096.0,2001,the wash,11
1,2000-03-01,3 Strikes,4000000.0,9821335.0,9821335.0,2.45533375,5821335.0,2000,3 strikes,3
2,2008-04-11,The Visitor,4000000.0,9427026.0,19174817.0,4.79370425,15174817.0,2008,the visitor,4
3,2003-11-26,The Cooler,4000000.0,8291572.0,11131455.0,2.78286375,7131455.0,2003,the cooler,11
4,1961-02-01,The Misfits,4000000.0,8200000.0,8200000.0,2.05,4200000.0,1961,the misfits,2
5,2006-08-04,The Night Listener,4000000.0,7836393.0,10770993.0,2.69274825,6770993.0,2006,the night listener,8
6,1995-02-03,The Jerky Boys,4000000.0,7555256.0,7555256.0,1.888814,3555256.0,1995,the jerky boys,2
7,2007-12-28,El orfanato,4000000.0,7159147.0,79250193.0,19.81254825,75250193.0,2007,el orfanato,12
8,2007-05-25,Bug,4000000.0,7006708.0,8302995.0,2.07574875,4302995.0,2007,bug,5
9,2002-10-11,The Rules of Attraction,4000000.0,6525762.0,11799060.0,2.949765,7799060.0,2002,the rules of attraction,10
10,1969-12-19,Topaz,4000000.0,6000000.0,6000000.0,1.5,2000000.0,1969,topaz,12
11,2006-11-17,Let's Go to Prison,4000000.0,4630045.0,4630045.0,1.15751125,630045.0,2006,lets go to prison,11
12,1995-12-25,Four Rooms,4000000.0,4301000.0,4301000.0,1.07525,301000.0,1995,four rooms,12
13,2002-09-20,Secretary,4000000.0,4046737.0,9413956.0,2.353489,5413956.0,2002,secretary,9
14,2003-04-25,The Real Cancun,4000000.0,3816594.0,3816594.0,0.9541485,-183406.0,2003,the real cancun,4
15,1988-12-01,Talk Radio,4000000.0,3468572.0,3468572.0,0.867143,-531428.0,1988,talk radio,12
16,1997-01-31,Waiting for Guffman,4000000.0,2922988.0,2922988.0,0.730747,-1077012.0,1997,waiting for guffman,1
17,1999-09-10,Love Stinks,4000000.0,2793776.0,2793776.0,0.698444,-1206224.0,1999,love stinks,9
18,2012-08-24,Samsara,4000000.0,2672413.0,5966671.0,1.49166775,1966671.0,2012,samsara,8
19,2007-06-22,You Kill Me,4000000.0,2426851.0,3858964.0,0.964741,-141036.0,2007,you kill me,6
20,2011-06-17,The Art of Getting By,4000000.0,1430241.0,1989035.0,0.49725875,-2010965.0,2011,the art of getting by,6
21,2005-09-16,Thumbsucker,4000000.0,1328679.0,1919197.0,0.47979925,-2080803.0,2005,thumbsucker,9
22,2011-09-23,Red State,4000000.0,1065429.0,1983596.0,0.495899,-2016404.0,2011,red state,9
23,2005-09-30,MirrorMask,4000000.0,864959.0,973613.0,0.24340325,-3026387.0,2005,mirrormask,9
24,1987-03-31,The Barbarians,4000000.0,800000.0,800000.0,0.2,-3200000.0,1987,the barbarians,3
25,2012-10-17,Holy Motors,4000000.0,641054.0,4230426.0,1.0576065,230426.0,2012,holy motors,10
26,2014-06-13,The Signal,4000000.0,600896.0,2665322.0,0.6663305,-1334678.0,2014,the signal,6
27,2003-02-28,Poolhall Junkies,4000000.0,563711.0,563711.0,0.14092775,-3436289.0,2003,poolhall junkies,2
28,1999-05-28,The Loss of Sexual Innocence,4000000.0,399793.0,399793.0,0.09994825,-3600207.0,1999,the loss of sexual innocence,5
29,2014-03-07,The Face of Love,4000000.0,385069.0,1158877.0,0.28971925,-2841123.0,2014,the face of love,3
30,2014-04-11,Joe,4000000.0,373375.0,373375.0,0.09334375,-3626625.0,2014,joe,4
31,1988-03-04,Prison,4000000.0,354704.0,354704.0,0.088676,-3645296.0,1988,prison,3
32,1998-05-01,Shooting Fish,4000000.0,302204.0,302204.0,0.075551,-3697796.0,1998,shooting fish,5
33,2009-05-08,Adoration,4000000.0,294244.0,384244.0,0.096061,-3615756.0,2009,adoration,5
34,2000-08-04,Psycho Beach Party,4000000.0,267972.0,267972.0,0.066993,-3732028.0,2000,psycho beach party,8
35,2019-06-07,Late Night,4000000.0,246305.0,246305.0,0.06157625,-3753695.0,2019,late night,6
36,2000-01-28,The Big Tease,4000000.0,185577.0,185577.0,0.04639425,-3814423.0,2000,the big tease,1
37,2017-08-25,Polina danser sa vie,4000000.0,165203.0,953314.0,0.2383285,-3046686.0,2017,polina danser sa vie,8
38,2015-04-10,Desert Dancer,4000000.0,155271.0,596335.0,0.14908375,-3403665.0,2015,desert dancer,4
39,2015-01-30,"Guten Tag, Ramon",4000000.0,154356.0,4854356.0,1.213589,854356.0,2015,guten tag ramon,1
40,2003-07-25,Mondays in the Sun,4000000.0,146402.0,146402.0,0.0366005,-3853598.0,2003,mondays in the sun,7
41,2015-06-19,Manglehorn,4000000.0,132270.0,797439.0,0.19935975,-3202561.0,2015,manglehorn,6
42,2010-04-02,Tau ming chong,4000000.0,129078.0,38899792.0,9.724948,34899792.0,2010,tau ming chong,4
43,2011-04-01,Trust,4000000.0,120016.0,120016.0,0.030004,-3879984.0,2011,trust,4
44,2000-12-22,An Everlasting Piece,4000000.0,75078.0,75078.0,0.0187695,-3924922.0,2000,an everlasting piece,12
45,1999-03-26,Among Giants,4000000.0,64359.0,64359.0,0.01608975,-3935641.0,1999,among giants,3
46,1999-07-16,The Velocity of Gary,4000000.0,34145.0,34145.0,0.00853625,-3965855.0,1999,the velocity of gary,7
47,2011-04-22,Stake Land,4000000.0,33245.0,679482.0,0.1698705,-3320518.0,2011,stake land,4
48,2015-02-27,Praia do Futuro,4000000.0,20620.0,760678.0,0.1901695,-3239322.0,2015,praia do futuro,2
49,2002-12-27,Sonny,4000000.0,17639.0,17639.0,0.00440975,-3982361.0,2002,sonny,12
50,1997-06-20,The Last Time I Committed Suicide,4000000.0,12836.0,12836.0,0.003209,-3987164.0,1997,the last time i committed suicide,6
51,2014-04-18,13 Sins,4000000.0,9134.0,47552.0,0.011888,-3952448.0,2014,13 sins,4
52,2011-11-18,Another Happy Day,4000000.0,9120.0,978527.0,0.24463175,-3021473.0,2011,another happy day,11
53,2013-02-22,Inescapable,4000000.0,4327.0,4327.0,0.00108175,-3995673.0,2013,inescapable,2
54,2017-12-31,Perfectos Desconocidos,4000000.0,0.0,31166312.0,7.791578,27166312.0,2017,perfectos desconocidos,12
55,2013-12-31,Geograf globus propil,4000000.0,0.0,4454853.0,1.11371325,454853.0,2013,geograf globus propil,12
56,2012-03-20,A Lonely Place to Die,4000000.0,0.0,442550.0,0.1106375,-3557450.0,2012,a lonely place to die,3
57,2003-12-31,Nothing,4000000.0,0.0,63180.0,0.015795,-3936820.0,2003,nothing,12
58,2012-06-01,The Loved Ones,4000000.0,0.0,12302.0,0.0030755,-3987698.0,2012,the loved ones,6
59,1972-11-09,1776,4000000.0,0.0,0.0,0.0,-4000000.0,1972,1776,11
60,1930-11-15,Hell's Angels,4000000.0,0.0,0.0,0.0,-4000000.0,1930,hells angels,11
61,2008-08-26,Purple Violets,4000000.0,0.0,0.0,0.0,-4000000.0,2008,purple violets,8
62,2012-11-09,Replicas,4000000.0,0.0,0.0,0.0,-4000000.0,2012,replicas,11
63,2012-12-31,The Helpers,4000000.0,0.0,0.0,0.0,-4000000.0,2012,the helpers,12
64,2015-12-31,The Veil,4000000.0,0.0,0.0,0.0,-4000000.0,2015,the veil,12
65,2014-07-11,The Perfect Wave,4000000.0,0.0,0.0,0.0,-4000000.0,2014,the perfect wave,7
66,2012-12-31,How to Fall in Love,4000000.0,0.0,0.0,0.0,-4000000.0,2012,how to fall in love,12
67,2015-09-08,Chain of Command,4000000.0,0.0,0.0,0.0,-4000000.0,2015,chain of command,9
68,1939-12-15,Gone with the Wind,3900000.0,198680470.0,390525192.0,20.0,386625192.0,1939,gone with the wind,12
69,1966-12-12,A Man for All Seasons,3900000.0,28350000.0,28350000.0,7.269230769230769,24450000.0,1966,a man for all seasons,12
70,1925-12-30,Ben-Hur: A Tale of the Christ,3900000.0,9000000.0,9000000.0,2.3076923076923075,5100000.0,1925,benhur a tale of the christ,12
71,1976-01-01,Network,3800000.0,23689877.0,23689877.0,6.234178157894737,19889877.0,1976,network,1
72,2011-01-14,Down for Life,3800000.0,41914.0,41914.0,0.01103,-3758086.0,2011,down for life,1
73,2010-04-30,The Good Heart,3800000.0,20930.0,340930.0,0.08971842105263157,-3459070.0,2010,the good heart,4
74,1965-04-07,Major Dundee,3800000.0,14873.0,14873.0,0.003913947368421052,-3785127.0,1965,major dundee,4
75,2018-10-05,Hevi reissu,3800000.0,10153.0,10153.0,0.002671842105263158,-3789847.0,2018,hevi reissu,10
76,1974-12-31,The Taking of Pelham One Two Three,3800000.0,0.0,0.0,0.0,-3800000.0,1974,the taking of pelham one two three,12
77,1950-05-17,Annie Get Your Gun,3768785.0,8000000.0,8000000.0,2.122700021359669,4231215.0,1950,annie get your gun,5
78,2006-08-11,Casa de Areia,3750000.0,539285.0,1178175.0,0.31418,-2571825.0,2006,casa de areia,8
79,2010-11-05,Four Lions,3750000.0,310007.0,2436111.0,0.6496296,-1313889.0,2010,four lions,11
80,2010-02-19,Defendor,3750000.0,44462.0,44462.0,0.011856533333333334,-3705538.0,2010,defendor,2
81,1970-05-13,The Ballad of Cable Hogue,3716946.0,3500000.0,5000000.0,1.3451903794136368,1283054.0,1970,the ballad of cable hogue,5
82,1948-05-20,The Pirate,3700000.0,2956000.0,2956000.0,0.798918918918919,-744000.0,1948,the pirate,5
83,2006-11-21,The History Boys,3700000.0,2730296.0,13447998.0,3.634594054054054,9747998.0,2006,the history boys,11
84,2006-11-03,Unknown,3700000.0,26403.0,3355048.0,0.9067697297297297,-344952.0,2006,unknown,11
85,1969-05-25,Midnight Cowboy,3600000.0,44785053.0,44785053.0,12.4402925,41185053.0,1969,midnight cowboy,5
86,2008-10-10,Billy: The Early Years of Billy Graham,3600000.0,320896.0,320896.0,0.08913777777777777,-3279104.0,2008,billy the early years of billy graham,10
87,2017-12-31,UtÃ¸ya 22. juli,3600000.0,0.0,173156.0,0.048098888888888885,-3426844.0,2017,utya 22 juli,12
88,1980-07-04,Airplane!,3500000.0,83453539.0,83453539.0,20.0,79953539.0,1980,airplane,7
89,1970-01-01,M*A*S*H,3500000.0,81600000.0,81600000.0,20.0,78100000.0,1970,mash,1
