genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,title_norm
"[35, 27]",280171,en,Eat Me!,0.624,2011-03-22,Eat Me!,3.0,1,2011,eat me
[],122582,en,Paranoid Activity 2,0.624,2011-01-01,Paranoid Activity 2,2.0,1,2011,paranoid activity 2
"[14, 18, 35, 878]",119172,ja,世界最後の日々,0.616,2011-07-04,The Last Days of the World,4.0,3,2011,the last days of the world
"[35, 10751, 10749]",62196,en,Somebody's Hero,0.615,2011-05-01,Somebody's Hero,5.8,8,2011,somebodys hero
[99],154352,en,How Did They Ever Make a Movie of Facebook?,0.61,2011-01-11,How Did They Ever Make a Movie of Facebook?,7.3,8,2011,how did they ever make a movie of facebook
"[80, 18, 10770]",99762,en,Salem Falls,0.601,2011-11-19,Salem Falls,5.1,8,2011,salem falls
"[18, 10749]",602984,en,Lucky,0.6,2011-03-11,Lucky,10.0,1,2011,lucky
[],552110,en,Bob Dylan: 1990-2006 - The Never Ending Narrative,0.6,2011-04-11,Bob Dylan: 1990-2006 - The Never Ending Narrative,10.0,1,2011,bob dylan 19902006 the never ending narrative
"[35, 18, 27]",543511,en,King of the Underground,0.6,2011-03-27,King of the Underground,10.0,1,2011,king of the underground
[35],526456,en,Separate Checks,0.6,2011-09-24,Separate Checks,10.0,1,2011,separate checks
"[9648, 35, 16]",509912,en,Turnabout Storm,0.6,2011-10-25,Turnabout Storm,10.0,1,2011,turnabout storm
[10751],485834,en,Ode to Los Angeles,0.6,2011-05-01,Ode to Los Angeles,10.0,1,2011,ode to los angeles
"[35, 18]",455240,en,Nerve,0.6,2011-12-07,Nerve,10.0,1,2011,nerve
[],452916,en,Slashed Prices: The Making of Intruder,0.6,2011-12-13,Slashed Prices: The Making of Intruder,10.0,1,2011,slashed prices the making of intruder
[],431245,en,Strangers Again,0.6,2011-04-20,Strangers Again,10.0,1,2011,strangers again
"[99, 36]",430779,en,Created Cosmos,0.6,2011-01-01,Created Cosmos,10.0,1,2011,created cosmos
[99],430221,en,Life With Alex,0.6,2011-01-01,Life With Alex,10.0,1,2011,life with alex
[],405549,en,Riccardo Chailly & Leipzig Gewandhaus Orchestra: Mahler 2,0.6,2011-09-27,Riccardo Chailly & Leipzig Gewandhaus Orchestra: Mahler 2,10.0,1,2011,riccardo chailly leipzig gewandhaus orchestra mahler 2
[],402853,en,"Bryan Beller - To Nothing, The Thanks In Advance Special Edition DVD",0.6,2011-01-01,"Bryan Beller - To Nothing, The Thanks In Advance Special Edition DVD",10.0,1,2011,bryan beller to nothing the thanks in advance special edition dvd
[16],385559,en,Public Meat,0.6,2011-03-03,Public Meat,10.0,1,2011,public meat
[],365059,en,Lucrezia Borgia,0.6,2011-05-13,Lucrezia Borgia,10.0,1,2011,lucrezia borgia
"[35, 10751]",347236,en,Bruce Lee Played Badminton Too,0.6,2011-01-01,Bruce Lee Played Badminton Too,10.0,1,2011,bruce lee played badminton too
[],336718,en,Crystal Palace,0.6,2011-01-01,Crystal Palace,10.0,1,2011,crystal palace
[99],332937,en,1984 Revolution,0.6,2011-01-01,1984 Revolution,10.0,2,2011,1984 revolution
[99],326628,en,Hempfest: No Prison for Pot,0.6,2011-08-01,Hempfest: No Prison for Pot,10.0,1,2011,hempfest no prison for pot
[18],314870,en,Itsemurha,0.6,2011-12-16,Itsemurha,10.0,1,2011,itsemurha
[],310335,en,Torchlighters: The William Booth Story,0.6,2011-10-27,Torchlighters: The William Booth Story,10.0,1,2011,torchlighters the william booth story
[],297321,en,Wendell Scott: A Race Story,0.6,2011-02-20,Wendell Scott: A Race Story,10.0,1,2011,wendell scott a race story
[99],251441,en,Black Whole,0.6,2011-03-29,Black Whole,10.0,1,2011,black whole
[],239063,en,Disney Holiday Magic with Samantha Brown,0.6,2011-12-11,Disney Holiday Magic with Samantha Brown,10.0,1,2011,disney holiday magic with samantha brown
[],225104,en,Connect,0.6,2011-05-31,Connect,10.0,1,2011,connect
"[16, 10751, 10402]",213632,en,Hydee and the Hytops,0.6,2011-05-01,Hydee and the Hytops,10.0,1,2011,hydee and the hytops
"[18, 53]",210794,en,Contractor's Routine,0.6,2011-06-03,Contractor's Routine,10.0,1,2011,contractors routine
[10402],201868,en,Circus Mexicus XX,0.6,2011-06-11,Circus Mexicus XX,10.0,1,2011,circus mexicus xx
[27],200719,de,Pray For Dawn,0.6,2011-10-14,The Bunker,10.0,1,2011,the bunker
[18],199801,en,Earthwork,0.6,2011-05-20,Earthwork,10.0,1,2011,earthwork
"[99, 10402]",192454,en,Bob Dylan Revealed,0.6,2011-05-01,Bob Dylan Revealed,10.0,1,2011,bob dylan revealed
[99],189401,en,Ascent: Commemorating Shuttle,0.6,2011-12-06,Ascent: Commemorating Shuttle,10.0,1,2011,ascent commemorating shuttle
[],141495,en,Transworld Snowboarding's 20 Tricks - Vol. 5,0.6,2011-08-15,Transworld Snowboarding's 20 Tricks - Vol. 5,10.0,1,2011,transworld snowboardings 20 tricks vol 5
"[10749, 35, 18]",141274,en,A Novel Romance,0.6,2011-11-11,A Novel Romance,10.0,1,2011,a novel romance
[],140970,en,Loyalty,0.6,2011-11-01,Loyalty,10.0,1,2011,loyalty
[10402],139970,da,Counting Crows: August & Everything after,0.6,2011-08-29,Counting Crows: August & Everything after,10.0,1,2011,counting crows august everything after
[],136310,en,Explosions in the Sky - Barcelona Theatre,0.6,2011-06-06,Explosions in the Sky - Barcelona Theatre,10.0,1,2011,explosions in the sky barcelona theatre
[],135101,en,My Last Day,0.6,2011-04-21,My Last Day,10.0,1,2011,my last day
[],134782,en,The Italian Key,0.6,2011-12-16,The Italian Key,10.0,1,2011,the italian key
[99],129058,en,Hollywood to Dollywood,0.6,2011-07-16,Hollywood to Dollywood,10.0,2,2011,hollywood to dollywood
[],122350,en,The Pettifogger,0.6,2011-10-09,The Pettifogger,10.0,2,2011,the pettifogger
[99],107768,en,Hidden Colors,0.6,2011-04-14,Hidden Colors,10.0,2,2011,hidden colors
[],94762,en,Cavalleria Rusticana/Pagliacci,0.6,2011-08-16,Cavalleria Rusticana/Pagliacci,10.0,1,2011,cavalleria rusticanapagliacci
"[36, 99]",88746,hi,Bhopali,0.6,2011-01-23,Bhopali,10.0,1,2011,bhopali
[99],81663,es,El lugar más pequeño,0.6,2011-04-30,The Tiniest Place,10.0,2,2011,the tiniest place
[],80848,en,The Love We Make,0.6,2011-09-10,The Love We Make,10.0,1,2011,the love we make
[],78043,en,Who's There?,0.6,2011-04-14,Who's There?,10.0,1,2011,whos there
[35],75849,en,Deray Davis:  Power Play,0.6,2011-07-01,Deray Davis:  Power Play,10.0,1,2011,deray davis power play
[],74762,en,Shinedown: Anything and Everything,0.6,2011-04-18,Shinedown: Anything and Everything,10.0,1,2011,shinedown anything and everything
"[35, 10749]",74292,en,Should've Put a Ring On It,0.6,2011-06-06,Should've Put a Ring On It,10.0,1,2011,shouldve put a ring on it
[99],74196,en,City Of Ants,0.6,2011-05-04,City Of Ants,10.0,1,2011,city of ants
"[12, 99]",70565,en,Reach,0.6,2011-01-30,Reach,10.0,1,2011,reach
[35],70427,en,Ben Bailey: Road Rage,0.6,2011-05-21,Ben Bailey: Road Rage,10.0,1,2011,ben bailey road rage
[99],69314,en,Chicago Cubs: The Heart and Soul of Chicago,0.6,2011-05-17,Chicago Cubs: The Heart and Soul of Chicago,10.0,1,2011,chicago cubs the heart and soul of chicago
[],61030,en,Cannibal Corpse: Global Evisceration,0.6,2011-03-15,Cannibal Corpse: Global Evisceration,10.0,2,2011,cannibal corpse global evisceration
"[10751, 16]",55527,en,Cat in the Hat: Up & Away,0.6,2011-01-04,Cat in the Hat: Up & Away,10.0,1,2011,cat in the hat up away
[18],520607,en,Games,0.6,2011-07-14,Games,9.8,4,2011,games
[18],520590,en,The Love Club,0.6,2011-04-12,The Love Club,9.8,4,2011,the love club
[10402],397960,en,Average White Band: Rockstage,0.6,2011-01-01,Average White Band: Rockstage,9.5,1,2011,average white band rockstage
[10402],395283,en,Pink Floyd - The Dark Side of the Moon (Immersion edition),0.6,2011-09-26,Pink Floyd - The Dark Side of the Moon (Immersion edition),9.5,2,2011,pink floyd the dark side of the moon
"[35, 99]",392906,en,Smashed: The Guinness Marathon Documentary,0.6,2011-08-25,Smashed: The Guinness Marathon Documentary,9.5,1,2011,smashed the guinness marathon documentary
[],278338,en,Pocoyo: Super Pocoyo,0.6,2011-01-11,Pocoyo: Super Pocoyo,9.5,1,2011,pocoyo super pocoyo
[],232484,en,Acquainted with the Night,0.6,2011-01-11,Acquainted with the Night,9.5,1,2011,acquainted with the night
[99],219874,en,2011 NBA  Champions: Dallas Mavericks,0.6,2011-07-17,2011 NBA  Champions: Dallas Mavericks,9.5,1,2011,2011 nba champions dallas mavericks
[99],100839,en,Orchids: My Intersex Adventure,0.6,2011-06-25,Orchids: My Intersex Adventure,9.3,3,2011,orchids my intersex adventure
[18],520613,en,Park City,0.6,2011-08-21,Park City,9.3,4,2011,park city
[878],332626,en,Star Trek - Aurora,0.6,2011-11-10,Star Trek - Aurora,9.2,3,2011,star trek aurora
[],433342,en,Passage Upon the Plume,0.6,2011-01-01,Passage Upon the Plume,9.0,1,2011,passage upon the plume
"[80, 9648, 53]",421818,en,Love Thy Enemy,0.6,2011-04-19,Love Thy Enemy,9.0,1,2011,love thy enemy
[10402],409172,en,Bob Schneider Live At The Paramount Theatre,0.6,2011-10-24,Bob Schneider Live At The Paramount Theatre,9.0,1,2011,bob schneider live at the paramount theatre
"[28, 80, 27, 53]",407874,en,Burn,0.6,2011-01-01,Burn,9.0,1,2011,burn
[],353247,en,A Phrase from Chris,0.6,2011-08-06,A Phrase from Chris,9.0,1,2011,a phrase from chris
[18],301069,en,Shouting Secrets,0.6,2011-11-10,Shouting Secrets,9.0,2,2011,shouting secrets
"[18, 35]",298014,en,The President Goes To Heaven,0.6,2011-07-11,The President Goes To Heaven,9.0,1,2011,the president goes to heaven
[99],262896,ab,The Documentary,0.6,2011-03-13,The Documentary,9.0,1,2011,the documentary
"[35, 18]",235255,en,The Man Who Never Cried,0.6,2011-02-09,The Man Who Never Cried,9.0,1,2011,the man who never cried
"[99, 10751]",198342,en,Family Band: The Cowsills Story,0.6,2011-08-10,Family Band: The Cowsills Story,9.0,1,2011,family band the cowsills story
[35],137270,en,Jake and Amir: Fired,0.6,2011-12-01,Jake and Amir: Fired,9.0,2,2011,jake and amir fired
[99],104542,en,The Marinovich Project,0.6,2011-12-10,The Marinovich Project,9.0,1,2011,the marinovich project
[],101617,en,Four Days At Dragon*Con,0.6,2011-05-04,Four Days At Dragon*Con,9.0,1,2011,four days at dragoncon
"[99, 10751]",67076,en,Off the Rez,0.6,2011-04-26,Off the Rez,9.0,1,2011,off the rez
"[99, 18, 10751]",45703,en,Chaim Yakarim,0.6,2011-05-05,Precious Life,9.0,2,2011,precious life
[99],307381,fa,"Az Iran, yek jodaee",0.6,2011-09-04,"From Iran, a Separation",8.7,6,2011,from iran a separation
[],154414,en,I Need a Doctor,0.6,2011-01-01,I Need a Doctor,8.7,3,2011,i need a doctor
[],322864,en,The LuLu Sessions,0.6,2011-09-06,The LuLu Sessions,8.5,1,2011,the lulu sessions
[],278833,en,Flood Streets,0.6,2011-04-11,Flood Streets,8.5,2,2011,flood streets
[],204096,en,Dora the Explorer: Dora's Ballet Adventures,0.6,2011-08-29,Dora the Explorer: Dora's Ballet Adventures,8.5,1,2011,dora the explorer doras ballet adventures
[10402],188716,en,Mumford & Sons - Live At Bonnaroo Festival,0.6,2011-06-10,Mumford & Sons - Live At Bonnaroo Festival,8.5,1,2011,mumford sons live at bonnaroo festival
[99],181563,en,Finding Atlantis,0.6,2011-03-26,Finding Atlantis,8.5,1,2011,finding atlantis
[],177048,fr,The Storm That Swept Mexico,0.6,2011-01-01,The Storm That Swept Mexico,8.5,1,2011,the storm that swept mexico
"[10770, 35]",172764,en,Mel Brooks and Dick Cavett Together Again,0.6,2011-09-09,Mel Brooks and Dick Cavett Together Again,8.5,1,2011,mel brooks and dick cavett together again
[],167888,en,A Radio Drama Goodbye,0.6,2011-11-12,A Radio Drama Goodbye,8.5,1,2011,a radio drama goodbye
[],138950,en,Jeff Beck - Rock & Roll Party: Honoring Les Paul,0.6,2011-02-22,Jeff Beck - Rock & Roll Party: Honoring Les Paul,8.5,1,2011,jeff beck rock roll party honoring les paul
[],137083,en,Neil Young - Le Noise,0.6,2011-02-01,Neil Young - Le Noise,8.5,1,2011,neil young le noise
[99],131655,en,The Last Days of Osama Bin Laden,0.6,2011-11-06,The Last Days of Osama Bin Laden,8.5,2,2011,the last days of osama bin laden
"[99, 10402]",80308,en,The Weird World of Blowfly,0.6,2011-09-16,The Weird World of Blowfly,8.5,1,2011,the weird world of blowfly
"[18, 28, 80]",72393,en,Cost Of A Soul,0.6,2011-05-20,Cost Of A Soul,8.5,2,2011,cost of a soul
[18],520599,en,Blue Boy,0.6,2011-06-08,Blue Boy,8.4,7,2011,blue boy
[35],89153,en,Christopher Titus: Neverlution,0.6,2011-06-28,Christopher Titus: Neverlution,8.3,3,2011,christopher titus neverlution
[],253694,en,Adam Lambert: Glam Nation Live,0.6,2011-05-10,Adam Lambert: Glam Nation Live,8.3,2,2011,adam lambert glam nation live
[99],132709,en,Rebirth,0.6,2011-08-31,Rebirth,8.3,2,2011,rebirth
"[18, 99]",99370,en,Got the Facts on Milk?,0.6,2011-08-30,Got the Facts on Milk?,8.3,2,2011,got the facts on milk
[],87389,en,Querida voy a comprar cigarrillos y vuelvo,0.6,2011-08-12,"Darling, I Am Going Out For Cigarettes and I Will Be Right Back",8.3,4,2011,darling i am going out for cigarettes and i will be right back
[10752],208982,en,Vietnam in HD,0.6,2011-11-08,Vietnam in HD,8.2,7,2011,vietnam in hd
"[99, 80, 36, 10770]",510653,en,Inside The Mob's Bloody Valentine,0.6,2017-03-15,Inside The Mob's Bloody Valentine,8.0,2,2017,inside the mobs bloody valentine
[99],504421,en,"Hiroshima, the next day",0.6,2011-12-01,"Hiroshima, the next day",8.0,1,2011,hiroshima the next day
"[9648, 27, 53]",498942,en,How They Smiled,0.6,2011-12-14,How They Smiled,8.0,1,2011,how they smiled
"[14, 12, 18]",464276,en,Bad Kids,0.6,2011-08-31,Bad Kids,8.0,1,2011,bad kids
[],450333,en,Jewels - Mariinsky Ballet,0.6,2011-09-21,Jewels - Mariinsky Ballet,8.0,1,2011,jewels mariinsky ballet
[10402],449725,en,Devin Townsend Project: By a Thread - Ki,0.6,2011-01-01,Devin Townsend Project: By a Thread - Ki,8.0,1,2011,devin townsend project by a thread ki
[10402],449723,en,Devin Townsend Project: By a Thread - Ghost,0.6,2011-01-01,Devin Townsend Project: By a Thread - Ghost,8.0,1,2011,devin townsend project by a thread ghost
[10402],449719,en,Devin Townsend Project: By a Thread - Deconstruction,0.6,2011-01-01,Devin Townsend Project: By a Thread - Deconstruction,8.0,1,2011,devin townsend project by a thread deconstruction
[99],445669,en,The Latino List,0.6,2011-09-29,The Latino List,8.0,2,2011,the latino list
[99],428934,en,Earth 2050: The Future of Energy,0.6,2011-12-22,Earth 2050: The Future of Energy,8.0,1,2011,earth 2050 the future of energy
"[35, 16]",419468,en,"Marcel the Shell with Shoes On, Two",0.6,2011-11-14,"Marcel the Shell with Shoes On, Two",8.0,1,2011,marcel the shell with shoes on two
[],416870,en,Scene Box,0.6,2011-01-01,Scene Box,8.0,1,2011,scene box
[99],407001,en,Star Warriors,0.6,2007-01-01,Star Warriors,8.0,1,2007,star warriors
[99],403298,en,9/11: Intercepted,0.6,2011-02-16,9/11: Intercepted,8.0,1,2011,911 intercepted
[],377499,en,Portraits in Dramatic Time,0.6,2011-07-05,Portraits in Dramatic Time,8.0,1,2011,portraits in dramatic time
[99],372197,en,Swallowed Souls: The Making of Evil Dead 2,0.6,2011-11-15,Swallowed Souls: The Making of Evil Dead 2,8.0,1,2011,swallowed souls the making of evil dead 2
[53],358256,en,Discipline,0.6,2011-04-13,Discipline,8.0,1,2011,discipline
[18],356753,en,AWOL,0.6,2011-01-21,AWOL,8.0,2,2011,awol
[27],353862,en,T is for Tantrum,0.6,2011-09-30,T is for Tantrum,8.0,1,2011,t is for tantrum
[99],346961,en,The Accidental Sea,0.6,2011-11-15,The Accidental Sea,8.0,2,2011,the accidental sea
"[99, 10751, 36]",346537,en,"Zeitgeist, History Rewritten",0.6,2011-07-28,"Zeitgeist, History Rewritten",8.0,1,2011,zeitgeist history rewritten
"[35, 14, 10402]",341605,en,Dogboarding,0.6,2011-03-28,Dogboarding,8.0,1,2011,dogboarding
[10402],335455,en,The Magic Flute: Metropolitan Opera,0.6,2011-08-16,The Magic Flute: Metropolitan Opera,8.0,1,2011,the magic flute metropolitan opera
"[10752, 18]",331182,ar,Tora Bora,0.6,2011-01-01,Tora Bora,8.0,1,2011,tora bora
[],329818,en,Snuff Film: Death on Camera,0.6,2011-10-04,Snuff Film: Death on Camera,8.0,1,2011,snuff film death on camera
[99],321493,en,Olhos de Ressaca,0.6,2011-04-02,Undertow Eyes,8.0,1,2011,undertow eyes
"[35, 18, 10749]",301049,en,Trophy Kids,0.6,2011-01-01,Trophy Kids,8.0,2,2011,trophy kids
[],297530,en,Wedding Night,0.6,2011-03-14,Wedding Night,8.0,1,2011,wedding night
[],292953,en,The Curious Case of Curt Flood,0.6,2011-07-13,The Curious Case of Curt Flood,8.0,1,2011,the curious case of curt flood
[16],287809,en,A Very Calvin & Hobbes Christmas,0.6,2011-01-01,A Very Calvin & Hobbes Christmas,8.0,1,2011,a very calvin hobbes christmas
[99],278266,en,9/11: Heroes of the 88th Floor,0.6,2011-11-04,9/11: Heroes of the 88th Floor,8.0,1,2011,911 heroes of the 88th floor
[99],269236,en,The Rescuers,0.6,2011-01-05,The Rescuers,8.0,1,2011,the rescuers
[99],267328,en,Nature: The Himalayas,0.6,2011-03-22,Nature: The Himalayas,8.0,2,2011,nature the himalayas
"[35, 18, 10749]",266779,zh,Shanghai Love Market,0.6,2011-07-22,Shanghai Love Market,8.0,2,2011,shanghai love market
[],249532,en,Paris By Night 103: Tình Sử Trong Âm Nhạc,0.6,2011-07-13,Paris By Night 103: Tình Sử Trong Âm Nhạc,8.0,1,2011,paris by night 103 tnh s trong m nhc
[99],244028,en,Earth Overhaul,0.6,2011-08-25,Earth Overhaul,8.0,1,2011,earth overhaul
[],235924,en,The Super List,0.6,2011-12-29,The Super List,8.0,1,2011,the super list
"[18, 9648]",211615,en,Aloneliness,0.6,2011-11-19,Aloneliness,8.0,1,2011,aloneliness
[18],211438,en,Departures,0.6,2011-05-14,Departures,8.0,1,2011,departures
"[99, 10402]",210539,en,Pendarvia,0.6,2011-01-17,Pendarvia,8.0,1,2011,pendarvia
[99],193904,en,Ode to the Dawn of Man,0.6,2011-05-16,Ode to the Dawn of Man,8.0,2,2011,ode to the dawn of man
[99],192708,en,Mother: Caring for 7 Billion,0.6,2011-05-15,Mother: Caring for 7 Billion,8.0,2,2011,mother caring for 7 billion
[99],176270,en,Money as Debt III: Evolution Beyond Money,0.6,2011-08-10,Money as Debt III: Evolution Beyond Money,8.0,1,2011,money as debt iii evolution beyond money
[18],174696,he,Ba-rakia ha-hamishi,0.6,2011-10-01,The Fifth Heaven,8.0,1,2011,the fifth heaven
[35],172035,en,Just a Little Heart Attack,0.6,2011-09-06,Just a Little Heart Attack,8.0,1,2011,just a little heart attack
[],170367,en,In God We Trust,0.6,2011-12-31,In God We Trust,8.0,2,2011,in god we trust
[35],140566,en,Ross Noble: The Headspace Cowboy,0.6,2011-11-14,Ross Noble: The Headspace Cowboy,8.0,1,2011,ross noble the headspace cowboy
[10402],122247,en,Train - Live in Chicago,0.6,2011-08-20,Train Live in Chicago,8.0,1,2011,train live in chicago
[],120924,en,The Purity Myth,0.6,2011-12-11,The Purity Myth,8.0,1,2011,the purity myth
"[10402, 99]",103395,en,Get Along,0.6,2011-10-04,Get Along,8.0,1,2011,get along
"[99, 10402]",101333,en,Fix: The Ministry Movie,0.6,2011-07-21,Fix: The Ministry Movie,8.0,1,2011,fix the ministry movie
"[36, 99]",95742,en,An African Election,0.6,2011-11-25,An African Election,8.0,2,2011,an african election
[99],94026,en,Bert Stern: Original Madman,0.6,2011-09-02,Bert Stern: Original Madman,8.0,1,2011,bert stern original madman
[99],86559,en,General Orders No. 9,0.6,2011-06-24,General Orders No. 9,8.0,3,2011,general orders no 9
"[99, 36]",85462,es,Hollywood contra Franco,0.6,2011-02-23,A War in Hollywood,8.0,1,2011,a war in hollywood
[10402],82892,en,Deep Purple: Total Abandon,0.6,2011-08-25,Deep Purple: Total Abandon,8.0,2,2011,deep purple total abandon
"[99, 12, 28]",82681,en,Rise & Shine: The Jay DeMerit Story,0.6,2011-11-03,Rise & Shine: The Jay DeMerit Story,8.0,1,2011,rise shine the jay demerit story
[99],81765,en,How Beer Saved the World,0.6,2011-01-30,How Beer Saved the World,8.0,4,2011,how beer saved the world
[],81228,en,From the Inside Out,0.6,2011-12-01,From the Inside Out,8.0,1,2011,from the inside out
[16],80589,en,Jingle All the Way,0.6,2011-11-25,Jingle All the Way,8.0,1,2011,jingle all the way
[35],78447,en,Kathy Griffin: Gurrl Down,0.6,2011-06-22,Kathy Griffin: Gurrl Down,8.0,2,2011,kathy griffin gurrl down
"[99, 10402]",74797,en,The Upsetter: The Life and Music of Lee Scratch Perry,0.6,2011-01-12,The Upsetter: The Life and Music of Lee Scratch Perry,8.0,3,2011,the upsetter the life and music of lee scratch perry
[99],74007,en,Finding Joe,0.6,2011-09-30,Finding Joe,8.0,1,2011,finding joe
[],73157,en,The Tale Of Mr. Rêvus,0.6,2011-08-13,The Tale Of Mr. Rêvus,8.0,1,2011,the tale of mr rvus
[35],67504,fr,Sans dessein,0.6,2011-02-15,Sans dessein,8.0,1,2011,sans dessein
"[18, 53, 9648]",59810,en,The Least of These,0.6,2011-08-02,The Least of These,8.0,1,2011,the least of these
[18],87408,fa,به امید دیدار,0.6,2011-10-17,Goodbye,7.9,4,2011,goodbye
[],268396,en,Midnight Heat,0.6,2007-01-01,Midnight Heat,7.8,3,2007,midnight heat
[],101715,en,Unguarded,0.6,2011-11-01,Unguarded,7.8,3,2011,unguarded
[53],191005,en,Committed,0.6,2011-04-17,Committed,7.8,4,2011,committed
"[28, 18, 10752]",378184,en,The Resistance,0.6,2011-11-10,The Resistance,7.7,3,2011,the resistance
"[35, 878, 12]",223767,en,Flashback,0.6,2011-09-24,Flashback,7.7,3,2011,flashback
[10402],199387,fr,30 Seconds To Mars : MTV Unplugged,0.6,2011-08-18,30 Seconds To Mars : MTV Unplugged,7.7,3,2011,30 seconds to mars mtv unplugged
[878],552833,en,Star Tours 3D - The Adventures Continue,0.6,2011-05-20,Star Tours 3D - The Adventures Continue,7.5,2,2011,star tours 3d the adventures continue
[99],325518,en,Filmstar Fish: Struggle For Survival,0.6,2011-02-14,Filmstar Fish: Struggle For Survival,7.5,1,2011,filmstar fish struggle for survival
[18],266371,en,Möbius,0.6,2011-11-03,Möbius,7.5,1,2011,mbius
"[18, 53]",259123,en,Bad is Bad,0.6,2011-08-06,Bad is Bad,7.5,2,2011,bad is bad
[99],210506,en,I Want My Name Back,0.6,2011-11-05,I Want My Name Back,7.5,2,2011,i want my name back
[],203138,en,Best in Film: The Greatest Movies of Our Time,0.6,2011-03-22,Best in Film: The Greatest Movies of Our Time,7.5,2,2011,best in film the greatest movies of our time
[],167289,it,Guitar Artistry Of - Bert Jansch Conundrum: In Concert 1980,0.6,2011-05-09,Guitar Artistry Of - Bert Jansch Conundrum: In Concert 1980,7.5,1,2011,guitar artistry of bert jansch conundrum in concert 1980
[10402],164178,en,Iggy And The Stooges: Raw Power Live (In The Hands of the Fans),0.6,2011-09-27,Iggy And The Stooges: Raw Power Live (In The Hands of the Fans),7.5,1,2011,iggy and the stooges raw power live
[],145599,en,Ransack Rebellion,0.6,2011-09-03,Ransack Rebellion,7.5,1,2011,ransack rebellion
[],137858,en,Procol Harum - Live at the Union Chapel,0.6,2011-09-13,Procol Harum - Live at the Union Chapel,7.5,1,2011,procol harum live at the union chapel
[],135478,en,Plush,0.6,2011-10-31,Plush,7.5,1,2011,plush
[9648],129892,en,Defective detective,0.6,2011-01-01,Defective detective,7.5,2,2011,defective detective
[99],109647,en,Vanished from Alcatraz,0.6,2011-02-09,Vanished from Alcatraz,7.5,2,2011,vanished from alcatraz
[],87238,en,Adaptive Kalash,0.6,2011-11-01,Adaptive Kalash,7.5,1,2011,adaptive kalash
[16],182865,en,Bottle,0.6,2011-01-01,Bottle,7.3,4,2011,bottle
[18],162981,nl,En waar de sterre bleef stille staan,0.6,2011-03-04,Little Baby Jesus of Flandr,7.3,3,2011,little baby jesus of flandr
[],126251,en,Born Villain,0.6,2011-08-28,Born Villain,7.3,4,2011,born villain
"[99, 18]",81657,en,The Redemption of General Butt Naked,0.6,2011-01-01,The Redemption of General Butt Naked,7.3,4,2011,the redemption of general butt naked
[99],251206,en,God of Wonders,0.6,2008-01-01,God of Wonders,7.1,4,2008,god of wonders
[99],111643,en,Miller's Tale,0.6,2011-03-05,Miller's Tale,7.1,4,2011,millers tale
[99],51410,en,Jens Pulver: Driven,0.6,2011-07-01,Jens Pulver: Driven,7.1,5,2011,jens pulver driven
[],567180,en,Bare Room,0.6,2011-01-01,Bare Room,7.0,1,2011,bare room
[],528026,en,Stay With Me,0.6,2011-08-01,Stay With Me,7.0,2,2011,stay with me
[99],519567,en,The Egyptian Job,0.6,2011-09-14,The Egyptian Job,7.0,1,2011,the egyptian job
[35],509520,en,Fat Camp,0.6,2011-01-01,Fat Camp,7.0,1,2011,fat camp
"[10402, 99]",495772,en,Sex Pistols: The Whole Story,0.6,2011-01-01,Sex Pistols: The Whole Story,7.0,1,2011,sex pistols the whole story
"[28, 80, 18]",473122,en,Narcocorrido,0.6,2011-08-30,Narcocorrido,7.0,1,2011,narcocorrido
"[18, 18]",454754,en,Animal Control,0.6,2011-03-30,Animal Control,7.0,1,2011,animal control
"[35, 28]",439766,en,Paper Pushers,0.6,2011-12-30,Paper Pushers,7.0,1,2011,paper pushers
[18],439129,hu,Vakáció,0.6,2011-04-10,Vacation,7.0,1,2011,vacation
"[27, 35]",431234,en,Crush the Skull,0.6,2011-10-30,Crush the Skull,7.0,2,2011,crush the skull
"[14, 18]",398313,es,El cadáver exquisito,0.6,2011-01-01,Exquisite Corpse,7.0,1,2011,exquisite corpse
"[16, 10749]",372914,en,Reversal of the Heart,0.6,2011-05-13,Reversal of the Heart,7.0,1,2011,reversal of the heart
[53],342769,en,Psychopaths,0.6,2011-10-04,Psychopaths,7.0,1,2011,psychopaths
"[14, 35]",341598,en,Puppets,0.6,2011-04-15,Puppets,7.0,1,2011,puppets
[14],340303,en,Wendy,0.6,2011-09-15,Wendy,7.0,2,2011,wendy
[],292540,en,Without a Home,0.6,2011-11-01,Without a Home,7.0,2,2011,without a home
[18],285250,en,Our Last Goodbye,0.6,2011-06-20,Our Last Goodbye,7.0,1,2011,our last goodbye
[],284002,en,Zoochosis Presents: Bears,0.6,2011-08-31,Zoochosis Presents: Bears,7.0,1,2011,zoochosis presents bears
[],274558,en,Jessie's Dad,0.6,2011-06-16,Jessie's Dad,7.0,1,2011,jessies dad
[16],274387,en,Rumbleseat,0.6,2011-10-09,Rumbleseat,7.0,1,2011,rumbleseat
[],273939,en,David,0.6,2011-01-01,David,7.0,1,2011,david
[],273736,en,The Fuzz,0.6,2011-11-01,The Fuzz,7.0,2,2011,the fuzz
[],272085,en,VeggieTales: Twas the Night Before Easter,0.6,2011-03-08,VeggieTales: Twas the Night Before Easter,7.0,1,2011,veggietales twas the night before easter
[35],260485,en,Hello Caller,0.6,2011-01-22,Hello Caller,7.0,1,2011,hello caller
