genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,title_norm
"[10749, 18]",61979,es,Tres metros sobre el cielo,13.720999999999998,2010-12-20,Three Steps Above Heaven,7.5,960,2010,three steps above heaven
"[12, 28, 18]",23759,en,Centurion,13.548,2010-02-15,Centurion,6.1,673,2010,centurion
"[28, 35, 80]",27581,en,The Other Guys,13.508,2010-08-06,The Other Guys,6.2,2187,2010,the other guys
"[80, 18, 53]",23168,en,The Town,13.475999999999999,2010-09-17,The Town,7.1,2386,2010,the town
"[28, 37, 18, 14, 53]",20533,en,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,2010,jonah hex
"[12, 28, 878]",20526,en,TRON: Legacy,13.459000000000001,2010-12-10,TRON: Legacy,6.3,4387,2010,tron legacy
"[12, 14, 28, 10749]",9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,2010,prince of persia the sands of time
"[35, 16, 10751]",9994,en,The Great Mouse Detective,13.347999999999999,1986-07-02,The Great Mouse Detective,7.1,769,1986,the great mouse detective
"[14, 18]",7980,en,The Lovely Bones,13.285,2010-01-15,The Lovely Bones,6.8,2226,2010,the lovely bones
[18],705,en,All About Eve,13.163,2000-10-06,All About Eve,8.2,685,2000,all about eve
"[18, 12, 37]",44264,en,True Grit,13.118,2010-12-22,True Grit,7.2,2816,2010,true grit
"[53, 80, 27]",43947,en,I Spit on Your Grave,13.102,2010-10-08,I Spit on Your Grave,6.3,977,2010,i spit on your grave
"[28, 80]",23483,en,Kick-Ass,13.08,2010-04-16,Kick-Ass,7.1,7540,2010,kickass
"[35, 878, 16]",51888,en,Robot Chicken: Star Wars Episode III,13.062000000000001,2010-12-19,Robot Chicken: Star Wars Episode III,7.5,60,2010,robot chicken star wars episode iii
"[28, 9648, 53]",27576,en,Salt,13.025,2010-07-23,Salt,6.3,3240,2010,salt
"[10770, 16, 14, 10751]",47626,en,Legend of the BoneKnapper Dragon,13.013,2010-10-15,Legend of the BoneKnapper Dragon,6.4,116,2010,legend of the boneknapper dragon
"[28, 80, 53]",26389,en,From Paris with Love,12.862,2010-02-05,From Paris with Love,6.2,1075,2010,from paris with love
"[28, 16, 9648]",40662,en,Batman: Under the Red Hood,12.704,2010-07-27,Batman: Under the Red Hood,7.7,756,2010,batman under the red hood
"[16, 12, 14, 10751]",42949,en,Arthur 3: la guerre des deux mondes,12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865,2010,arthur 3 the war of the two worlds
"[35, 10751, 14]",23023,en,Tooth Fairy,12.65,2010-01-22,Tooth Fairy,5.3,1058,2010,tooth fairy
"[28, 35, 53]",23631,en,Machete,12.557,2010-09-03,Machete,6.3,1862,2010,machete
"[80, 18, 9648, 10749]",25376,es,El secreto de sus ojos,12.530999999999999,2010-04-16,The Secret in Their Eyes,7.9,1141,2010,the secret in their eyes
[35],35056,en,Date Night,12.498,2010-04-08,Date Night,6.0,1743,2010,date night
"[35, 18]",41733,en,Due Date,12.445,2010-11-04,Due Date,6.3,2973,2010,due date
"[28, 878, 53, 80]",31867,en,Repo Men,12.437000000000001,2010-03-19,Repo Men,6.2,976,2010,repo men
"[16, 28]",43641,en,Superman/Shazam!: The Return of Black Adam,12.395,2010-11-09,Superman/Shazam!: The Return of Black Adam,7.1,140,2010,supermanshazam the return of black adam
[16],28874,ja,サマーウォーズ,12.275,2010-10-13,Summer Wars,7.5,447,2010,summer wars
"[28, 12, 18, 10751]",38575,en,The Karate Kid,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,2010,the karate kid
"[35, 10751]",33217,en,Diary of a Wimpy Kid,12.255999999999998,2010-03-19,Diary of a Wimpy Kid,6.0,736,2010,diary of a wimpy kid
