id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,profit_ratio,profit,year_x,title,studio,domestic_gross_y,foreign_gross,year_y,total_gross,budget_category
47,2010-06-18,Toy Story 3,200000000.0,415004880.0,1068879522.0,5.34439761,868879522.0,2010,Toy Story 3,BV,415000000.0,652000000.0,2010,1067000000.0,High
48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,6.07696136,1015392272.0,2013,Iron Man 3,BV,409000000.0,805800000.0,2013,1214800000.0,High
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,5.552634905,910526981.0,2012,Skyfall,Sony,304400000.0,804200000.0,2012,1108600000.0,High
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,3.717941645,543588329.0,2013,Monsters University,BV,268500000.0,475700000.0,2013,744200000.0,High
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,3.739313875,547862775.0,2014,X-Men: Days of Future Past,Fox,233900000.0,513900000.0,2014,747800000.0,High
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,3.54498168,508996336.0,2014,The Amazing Spider-Man 2,Sony,202900000.0,506100000.0,2014,709000000.0,High
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,2.800776915,360155383.0,2011,Cars 2,BV,191500000.0,370700000.0,2011,562200000.0,High
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,3.26110043,452220086.0,2018,Fantastic Beasts: The Crimes of Grindelwald,WB,159600000.0,494100000.0,2018,653700000.0,High
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,1.09767746,19535492.0,2011,Green Lantern,WB,116600000.0,103300000.0,2011,219900000.0,High
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,5.763028425641026,928790543.0,2011,Transformers: Dark of the Moon,P/DW,352400000.0,771400000.0,2011,1123800000.0,High
66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,1.0137825794871795,2687603.0,2013,Jack the Giant Slayer,WB (NL),65200000.0,132500000.0,2013,197700000.0,High
67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,7.9932778631578945,1328722794.0,2015,Furious 7,Uni.,353000000.0,1163.0,2015,353001163.0,High
68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,2.4599030736842105,277381584.0,2013,Star Trek Into Darkness,Par.,228800000.0,238600000.0,2013,467400000.0,High
69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,2.7974455263157894,341514650.0,2013,World War Z,Par.,202400000.0,337600000.0,2013,540000000.0,High
72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,2.1631731894736843,221002906.0,2013,Pacific Rim,WB,101800000.0,309200000.0,2013,411000000.0,High
73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,1.7801121973333334,146271037.0,2015,The Good Dinosaur,BV,123100000.0,209100000.0,2015,332200000.0,High
77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,2.997873145945946,369606532.0,2012,Brave,BV,237300000.0,303200000.0,2012,540500000.0,High
78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,3.0328219405405403,376072059.0,2017,Kong: Skull Island,WB,168100000.0,398600000.0,2017,566700000.0,High
79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,1.8151472054054054,150802233.0,2016,Star Trek Beyond,Par.,158800000.0,184600000.0,2016,343400000.0,High
80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,1.4019319351351351,74357408.0,2017,Blade Runner 2049,WB,92100000.0,167200000.0,2017,259300000.0,High
82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,4.705444577777778,666980024.0,2017,Thor: Ragnarok,BV,315100000.0,538900000.0,2017,854000000.0,High
84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,4.214092972222222,578536735.0,2014,Maleficent,BV,241400000.0,517100000.0,2014,758500000.0,High
88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,1.9383445833333333,168902025.0,2016,The Legend of Tarzan,WB,126600000.0,230100000.0,2016,356700000.0,High
